,Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,Matches,LgRank,MP,Matches,Playing Time : MP,Matches
17873,Mattia Zaccagni,2024-2025,29,Lazio,it ITA,Coppa Italia,1,1,59,0.7,0,1,1,0,0,1,1,0,,,,,,,,0.00,1.53,1.53,0.00,1.53,,,,,,Matches,,,,,,
17886,Marash Kumbulla,2017-2018,17,Hellas Verona,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
17887,Marash Kumbulla,2018-2019,18,Hellas Verona,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17888,Marash Kumbulla,2019-2020,19,Hellas Verona,it ITA,Coppa Italia,1,1,120,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17889,Marash Kumbulla,2020-2021,20,Roma,it ITA,Coppa Italia,1,1,120,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17890,Marash Kumbulla,2021-2022,21,Roma,,3. Conf Lg,8,7,645,7.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,12,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
17891,Marash Kumbulla,2022-2023,22,Roma,it ITA,Coppa Italia,2,2,135,1.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17892,Marash Kumbulla,2023-2024,23,Roma,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
17893,Marash Kumbulla,2024-2025,24,Espanyol,es ESP,Copa del Rey,1,1,90,1.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17907,Valerio Verre,2012-2013,18,Siena,it ITA,1. Serie A,8,2,160,1.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17908,Valerio Verre,2013-2014,19,Palermo,it ITA,2. Serie B,20,10,933,10.4,0,4,4,0,0,0,4,0,,,,,,,,0.00,0.39,0.39,0.00,0.39,,,,,,,,,,,,
17909,Valerio Verre,2014-2015,20,Perugia,it ITA,Coppa Italia,3,2,234,2.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17910,Valerio Verre,2015-2016,21,Pescara,it ITA,Coppa Italia,2,2,153,1.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17911,Valerio Verre,2016-2017,22,Pescara,it ITA,Coppa Italia,2,2,127,1.4,2,0,2,2,0,0,0,0,,,,,,,,1.42,0.00,1.42,1.42,1.42,,,,,,Matches,,,,,,
17912,Valerio Verre,2017-2018,23,Sampdoria,it ITA,Coppa Italia,1,1,90,1.0,0,1,1,0,0,0,0,0,,,,,,,,0.00,1.00,1.00,0.00,1.00,,,,,,Matches,,,,,,
17913,Valerio Verre,2018-2019,24,Sampdoria,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
17914,Valerio Verre,2019-2020,25,Hellas Verona,it ITA,Coppa Italia,1,1,66,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17915,Valerio Verre,2020-2021,26,Sampdoria,it ITA,Coppa Italia,2,2,180,2.0,1,0,1,1,0,0,0,0,,,,,,,,0.50,0.00,0.50,0.50,0.50,,,,,,Matches,,,,,,
17916,Valerio Verre,2021-2022,27,Sampdoria,it ITA,Coppa Italia,1,1,80,0.9,1,0,1,1,0,0,0,0,,,,,,,,1.13,0.00,1.13,1.13,1.13,,,,,,Matches,,,,,,
17917,Valerio Verre,2022-2023,28,Sampdoria,it ITA,Coppa Italia,3,2,193,2.1,1,0,1,1,0,0,0,0,,,,,,,,0.47,0.00,0.47,0.47,0.47,,,,,,Matches,,,,,,
17918,Valerio Verre,2023-2024,29,Sampdoria,it ITA,Coppa Italia,1,1,100,1.1,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.90,0.90,0.00,0.90,,,,,,Matches,,,,,,
17919,Valerio Verre,2024-2025,30,Palermo,it ITA,2. Serie B,12,8,598,6.6,1,1,2,1,0,0,3,0,0.7,0.7,1.3,2.0,12,50,42,0.15,0.15,0.30,0.15,0.30,0.10,0.19,0.29,0.10,0.29,Matches,,,,,,
17936,Samuel Di Carmine,2010-2011,21,Frosinone,it ITA,2. Serie B,12,7,588,6.5,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.15,0.15,0.00,0.15,,,,,,,,,,,,
17937,Samuel Di Carmine,2011-2012,22,Cittadella,it ITA,2. Serie B,38,31,2808,31.2,8,4,12,7,1,1,2,1,,,,,,,,0.26,0.13,0.38,0.22,0.35,,,,,,,,,,,,
17938,Samuel Di Carmine,2012-2013,23,Cittadella,it ITA,2. Serie B,37,31,2870,31.9,6,3,9,6,0,0,6,1,,,,,,,,0.19,0.09,0.28,0.19,0.28,,,,,,,,,,,,
17939,Samuel Di Carmine,2013-2014,24,Juve Stabia,it ITA,2. Serie B,29,27,2399,26.7,6,3,9,4,2,5,2,0,,,,,,,,0.23,0.11,0.34,0.15,0.26,,,,,,,,,,,,
17940,Samuel Di Carmine,2015-2016,26,Perugia,it ITA,Coppa Italia,2,2,158,1.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17941,Samuel Di Carmine,2016-2017,27,Perugia,it ITA,Coppa Italia,2,1,107,1.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17942,Samuel Di Carmine,2017-2018,28,Perugia,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
17943,Samuel Di Carmine,2018-2019,29,Hellas Verona,it ITA,Coppa Italia,2,1,117,1.3,1,0,1,1,0,0,0,0,,,,,,,,0.77,0.00,0.77,0.77,0.77,,,,,,Matches,,,,,,
17944,Samuel Di Carmine,2019-2020,30,Hellas Verona,it ITA,1. Serie A,22,17,1293,14.4,8,0,8,7,1,2,3,0,6.7,5.2,0.6,5.8,8,7,79,0.56,0.00,0.56,0.49,0.49,0.47,0.04,0.51,0.36,0.40,Matches,,,,,,
17945,Samuel Di Carmine,2020-2021,31,Hellas Verona,it ITA,Coppa Italia,1,0,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17946,Samuel Di Carmine,2021-2022,32,Hellas Verona,it ITA,Coppa Italia,1,0,13,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17947,Samuel Di Carmine,2022-2023,33,Cremonese,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
17966,Alan Empereur,2014-2015,20,Livorno,it ITA,2. Serie B,1,0,8,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17967,Alan Empereur,2015-2016,21,Teramo,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17968,Alan Empereur,2016-2017,22,Foggia,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17969,Alan Empereur,2017-2018,23,Foggia,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17970,Alan Empereur,2018-2019,24,Hellas Verona,it ITA,2. Serie B,18,15,1395,15.5,0,2,2,0,0,0,3,1,0.0,0.0,1.0,1.0,12,90,8,0.00,0.13,0.13,0.00,0.13,0.00,0.06,0.07,0.00,0.07,Matches,,,,,,
17971,Alan Empereur,2019-2020,25,Hellas Verona,it ITA,Coppa Italia,1,1,120,1.3,1,0,1,1,0,0,0,0,,,,,,,,0.75,0.00,0.75,0.75,0.75,,,,,,Matches,,,,,,
17973,Alan Empereur,2020-2021,26,Hellas Verona,it ITA,Coppa Italia,1,1,120,1.3,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
17994,Mariusz Stepinski,2011-2012,16,Widzew Łódź,pl POL,1. Ekstraklasa,8,1,172,1.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
17995,Mariusz Stepinski,2012-2013,17,Widzew Łódź,pl POL,1. Ekstraklasa,25,11,1282,14.2,5,3,8,5,0,0,1,0,,,,,,,,0.35,0.21,0.56,0.35,0.56,,,,,,,,,,,,
17996,Mariusz Stepinski,2014-2015,19,Wisła Kraków,pl POL,1. Ekstraklasa,25,7,752,8.4,2,2,4,2,0,0,0,0,,,,,,,,0.24,0.24,0.48,0.24,0.48,,,,,,Matches,,,,,,
17997,Mariusz Stepinski,2015-2016,20,Ruch Chorzów,pl POL,1. Ekstraklasa,34,30,2639,29.3,15,2,17,14,1,2,5,0,,,,,,,,0.51,0.07,0.58,0.48,0.55,,,,,,Matches,,,,,,
17998,Mariusz Stepinski,2016-2017,21,Nantes,fr FRA,1. Coupe de la Ligue,2,2,155,1.7,1,0,1,1,0,0,0,0,,,,,,,,0.58,0.00,0.58,0.58,0.58,,,,,,Matches,,,,,,
17999,Mariusz Stepinski,2017-2018,22,Chievo,it ITA,Coppa Italia,1,1,72,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18000,Mariusz Stepinski,2018-2019,23,Chievo,it ITA,Coppa Italia,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18001,Mariusz Stepinski,2019-2020,24,Chievo,it ITA,Coppa Italia,2,2,178,2.0,1,0,1,1,0,0,0,0,,,,,,,,0.51,0.00,0.51,0.51,0.51,,,,,,Matches,,,,,,
18002,Mariusz Stepinski,2020-2021,25,Lecce,it ITA,Coppa Italia,1,1,45,0.5,1,0,1,1,0,0,0,0,,,,,,,,2.00,0.00,2.00,2.00,2.00,,,,,,Matches,,,,,,
18003,Mariusz Stepinski,2023-2024,28,Aris Limassol FC,,2. Europa Lg,6,0,67,0.7,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,3,3,7,0.00,0.00,0.00,0.00,0.00,0.61,0.05,0.66,0.61,0.66,Matches,,,,,,
18004,Mariusz Stepinski,2024-2025,29,AC Omonia,,3. Conf Lg,5,3,225,2.5,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,1,4,20,0.00,0.00,0.00,0.00,0.00,0.36,0.04,0.40,0.36,0.40,Matches,,,,,,
18024,Pawel Dawidowicz,2012-2013,17,Lechia Gdańsk,pl POL,1. Ekstraklasa,2,0,71,0.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
18025,Pawel Dawidowicz,2013-2014,18,Lechia Gdańsk,pl POL,1. Ekstraklasa,32,31,2682,29.8,1,1,2,1,0,0,9,0,,,,,,,,0.03,0.03,0.07,0.03,0.07,,,,,,,,,,,,
18026,Pawel Dawidowicz,2016-2017,21,Bochum,de GER,2. 2. Bundesliga,17,11,1049,11.7,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18027,Pawel Dawidowicz,2017-2018,22,Palermo,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
18028,Pawel Dawidowicz,2018-2019,23,Hellas Verona,it ITA,Coppa Italia,1,0,34,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18029,Pawel Dawidowicz,2019-2020,24,Hellas Verona,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
18030,Pawel Dawidowicz,2020-2021,25,Hellas Verona,it ITA,Coppa Italia,2,1,98,1.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18031,Pawel Dawidowicz,2021-2022,26,Hellas Verona,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18032,Pawel Dawidowicz,2022-2023,27,Hellas Verona,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18033,Pawel Dawidowicz,2023-2024,28,Hellas Verona,it ITA,Coppa Italia,1,1,90,1.0,1,0,1,1,0,0,0,0,,,,,,,,1.00,0.00,1.00,1.00,1.00,,,,,,Matches,,,,,,
18034,Pawel Dawidowicz,2024-2025,29,Hellas Verona,it ITA,Coppa Italia,1,0,36,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18046,Eddie Salcedo,2017-2018,15,Genoa,it ITA,Coppa Italia,,0,5,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,1,
18047,Eddie Salcedo,2018-2019,16,Inter,it ITA,Coppa Italia,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,0,
18048,Eddie Salcedo,2019-2020,17,Hellas Verona,it ITA,1. Serie A,,7,680,7.6,1,0,1,1,0,0,0,0,1.7,1.7,1.6,3.3,24,15,75,0.13,0.00,0.13,0.13,0.13,0.22,0.21,0.43,0.22,0.43,Matches,,,,,17,
18049,Eddie Salcedo,2020-2021,18,Hellas Verona,it ITA,Coppa Italia,,2,210,2.3,1,1,2,1,0,0,0,0,,,,,,,,0.43,0.43,0.86,0.43,0.86,,,,,,Matches,,,,,2,
18050,Eddie Salcedo,2021-2022,19,Spezia,it ITA,1. Serie A,,5,429,4.8,0,0,0,0,0,0,1,0,1.5,1.5,0.2,1.7,8,17,29,0.00,0.00,0.00,0.00,0.00,0.31,0.05,0.35,0.31,0.35,Matches,,,,,12,
18051,Eddie Salcedo,2022-2023,20,Bari,it ITA,Coppa Italia,,1,65,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,1,
18052,Eddie Salcedo,2023-2024,21,Eldense,es ESP,Copa del Rey,,1,63,0.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,1,
18053,Eddie Salcedo,2024-2025,22,OFI Crete,gr GRE,1. Super League,,4,405,4.5,3,2,5,2,1,1,1,0,,,,,,,,0.67,0.44,1.11,0.44,0.89,,,,,,Matches,,,,,10,
18075,Salvatore Bocchetti,2010-2011,23,Rubin Kazan,,1. Champions Lg,6,6,516,5.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18076,Salvatore Bocchetti,2011-2012,24,Rubin Kazan,,2. Europa Lg,8,8,720,8.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18077,Salvatore Bocchetti,2012-2013,25,Rubin Kazan,,2. Europa Lg,4,4,351,3.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18078,Salvatore Bocchetti,2013-2014,26,Spartak Moscow,ru RUS,1. Premier League,12,11,958,10.6,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
18079,Salvatore Bocchetti,2014-2015,27,Spartak Moscow,ru RUS,1. Premier League,3,3,226,2.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18080,Salvatore Bocchetti,2015-2016,28,Spartak Moscow,ru RUS,1. Premier League,28,28,2520,28.0,3,0,3,3,0,0,10,0,,,,,,,,0.11,0.00,0.11,0.11,0.11,,,,,,Matches,,,,,,
18081,Salvatore Bocchetti,2016-2017,29,Spartak Moscow,ru RUS,1. Premier League,15,14,1341,14.9,1,0,1,1,0,0,2,0,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,Matches,,,,,,
18082,Salvatore Bocchetti,2017-2018,30,Spartak Moscow,,1. Champions Lg,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,,,,,,
18083,Salvatore Bocchetti,2018-2019,31,Spartak Moscow,,2. Europa Lg,4,4,360,4.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,18,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,
18084,Salvatore Bocchetti,2019-2020,32,Hellas Verona,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
18085,Salvatore Bocchetti,2020-2021,33,Pescara,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18102,Boris Radunovic,2012-2013,16,Rad,rs SRB,1. SuperLiga,1,0,7,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
18103,Boris Radunovic,2014-2015,18,Rad,rs SRB,1. SuperLiga,21,21,1890,21.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
18104,Boris Radunovic,2015-2016,19,Atalanta,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
18105,Boris Radunovic,2016-2017,20,Avellino,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
18106,Boris Radunovic,2017-2018,21,Salernitana,it ITA,2. Serie B,36,36,3172,35.2,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18107,Boris Radunovic,2018-2019,22,Cremonese,it ITA,Coppa Italia,1,1,120,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18108,Boris Radunovic,2019-2020,23,Hellas Verona,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
18109,Boris Radunovic,2020-2021,24,Atalanta,it ITA,1. Serie A,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
18110,Boris Radunovic,2021-2022,25,Cagliari,it ITA,Coppa Italia,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18111,Boris Radunovic,2022-2023,26,Cagliari,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18112,Boris Radunovic,2023-2024,27,Cagliari,it ITA,Coppa Italia,3,3,330,3.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18113,Boris Radunovic,2024-2025,28,Bari,it ITA,Coppa Italia,1,1,120,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18128,Claud Adjapong,2015-2016,17,Sassuolo,it ITA,1. Serie A,2,0,20,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18129,Claud Adjapong,2016-2017,18,Sassuolo,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18130,Claud Adjapong,2017-2018,19,Sassuolo,it ITA,1. Serie A,16,14,1220,13.6,0,0,0,0,0,0,5,1,0.8,0.8,1.1,1.9,31,42,54,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Matches,,,,,,
18131,Claud Adjapong,2018-2019,20,Sassuolo,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
18132,Claud Adjapong,2019-2020,21,Sassuolo,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
18133,Claud Adjapong,2020-2021,22,Lecce,it ITA,Coppa Italia,2,2,185,2.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18134,Claud Adjapong,2021-2022,23,US Reggina,it ITA,Coppa Italia,1,0,23,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18135,Claud Adjapong,2022-2023,24,Ascoli,it ITA,Coppa Italia,1,1,81,0.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18136,Claud Adjapong,2023-2024,25,Ascoli,it ITA,Coppa Italia,1,1,82,0.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18148,Gennaro Tutino,2014-2015,17,Vicenza,it ITA,Coppa Italia,1,1,28,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18149,Gennaro Tutino,2015-2016,18,Bari,it ITA,2. Serie B,1,0,16,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18150,Gennaro Tutino,2016-2017,19,Carrarese,it ITA,Coppa Italia,1,0,64,0.7,1,0,1,1,0,0,1,0,,,,,,,,1.41,0.00,1.41,1.41,1.41,,,,,,Matches,,,,,,
18151,Gennaro Tutino,2017-2018,20,Cosenza,it ITA,Coppa Italia,1,1,58,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18152,Gennaro Tutino,2018-2019,21,Cosenza,it ITA,Coppa Italia,1,1,80,0.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18153,Gennaro Tutino,2019-2020,22,Hellas Verona,it ITA,Coppa Italia,1,1,120,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18154,Gennaro Tutino,2020-2021,23,Salernitana,it ITA,Coppa Italia,2,1,105,1.2,1,0,1,1,0,0,0,0,,,,,,,,0.86,0.00,0.86,0.86,0.86,,,,,,Matches,,,,,,
18155,Gennaro Tutino,2021-2022,24,Parma,it ITA,Coppa Italia,1,0,31,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18156,Gennaro Tutino,2022-2023,25,Parma,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
18157,Gennaro Tutino,2023-2024,26,Cosenza,it ITA,Coppa Italia,1,1,79,0.9,1,0,1,0,1,1,0,0,,,,,,,,1.14,0.00,1.14,0.00,0.00,,,,,,Matches,,,,,,
18158,Gennaro Tutino,2024-2025,27,Sampdoria,it ITA,Coppa Italia,2,0,111,1.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18175,Liam Henderson,2013-2014,17,Celtic,sct SCO,1. Premiership,8,4,355,3.9,1,0,1,1,0,0,1,0,,,,,,,,0.25,0.00,0.25,0.25,0.25,,,,,,,,,,,,
18176,Liam Henderson,2014-2015,18,Celtic,,2. Europa Lg,2,0,42,0.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18178,Liam Henderson,2015-2016,19,Hibernian,sct SCO,2. Championship,32,27,2426,27.0,5,6,11,5,0,0,8,0,,,,,,,,0.19,0.22,0.41,0.19,0.41,,,,,,Matches,,,,,,
18179,Liam Henderson,2016-2017,20,Celtic,,1. Champions Lg,1,0,5,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18180,Liam Henderson,2017-2018,21,Celtic,sct SCO,1. Premiership,1,0,24,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18181,Liam Henderson,2018-2019,22,Hellas Verona,it ITA,Coppa Italia,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18182,Liam Henderson,2019-2020,23,Hellas Verona,it ITA,Coppa Italia,1,1,120,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18183,Liam Henderson,2020-2021,24,Lecce,it ITA,Coppa Italia,2,2,210,2.3,1,0,1,1,0,0,2,0,,,,,,,,0.43,0.00,0.43,0.43,0.43,,,,,,Matches,,,,,,
18184,Liam Henderson,2021-2022,25,Empoli,it ITA,Coppa Italia,2,0,88,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18185,Liam Henderson,2022-2023,26,Empoli,it ITA,Coppa Italia,1,1,55,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18186,Liam Henderson,2023-2024,27,Empoli,it ITA,Coppa Italia,1,1,67,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
18187,Liam Henderson,2024-2025,28,Empoli,it ITA,Coppa Italia,3,3,276,3.1,0,2,2,0,0,0,0,0,,,,,,,,0.00,0.65,0.65,0.00,0.65,,,,,,Matches,,,,,,
18213,Giampaolo Pazzini,2010-2011,25,Sampdoria,,2. Europa Lg,3,2,207,2.3,2,0,2,1,1,1,0,0,,,,,,,,0.87,0.00,0.87,0.43,0.43,,,,,,Matches,,,,,,
