Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 22_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Matches,MP,LgRank,MP,Matches,Matches
Gabriel Jesus,2019-2020,22,Manchester City,,1. Champions Lg,8,7,589,6.5,6,3,9,6,0,1,0,0,6.1,5.3,2.7,7.9,9,7,49,0.92,0.46,1.38,0.92,1.38,0.93,0.41,1.33,0.80,1.21,Matches,,,,,,
Gabriel Jesus,2020-2021,23,Manchester City,,1. Champions Lg,7,2,270,3.0,2,0,2,2,0,0,1,0,1.7,1.7,0.4,2.1,12,6,44,0.67,0.00,0.67,0.67,0.67,0.56,0.13,0.69,0.56,0.69,Matches,,,,,,
Gabriel Jesus,2021-2022,24,Manchester City,,1. Champions Lg,8,3,355,3.9,4,1,5,4,0,0,3,0,1.5,1.5,1.1,2.7,16,11,30,1.01,0.25,1.27,1.01,1.27,0.39,0.29,0.68,0.39,0.68,Matches,,,,,,
Gabriel Jesus,2022-2023,25,Arsenal,eng ENG,EFL Cup,1,0,19,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Gabriel Jesus,2023-2024,26,Arsenal,,1. Champions Lg,8,4,406,4.5,4,3,7,4,0,0,2,0,2.1,2.1,2.2,4.4,10,11,43,0.89,0.67,1.55,0.89,1.55,0.51,0.53,1.04,0.51,1.04,Matches,,,,,,
Gabriel Jesus,2024-2025,27,Arsenal,,1. Champions Lg,5,3,258,2.9,0,1,1,0,0,0,1,0,1.4,1.4,0.4,1.8,6,5,36,0.00,0.35,0.35,0.00,0.35,0.49,0.15,0.64,0.49,0.64,Matches,,,,,,
Gabriel Jesus,10 Seasons,10 Seasons,3 Clubs,,8 Leagues,378,248,23391,259.9,138,67,205,132,6,11,59,1,104.1,97.1,33.4,130.5,391,379,1632,0.53,0.26,0.79,0.51,0.77,0.60,0.19,0.79,0.56,0.75,,,,,,,
Gabriel Jesus,,,,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,
Gabriel Jesus,Manchester City (6 Seasons),Manchester City (6 Seasons),Manchester City (6 Seasons),,5 Leagues,236,151,14384,159.8,95,41,136,90,5,10,22,0,78.2,71.9,21.2,93.1,278,239,1148,0.59,0.26,0.85,0.56,0.82,0.65,0.18,0.82,0.59,0.77,,,,,,,
Gabriel Jesus,Arsenal (3 Seasons),Arsenal (3 Seasons),Arsenal (3 Seasons),,4 Leagues,90,56,5045,56.1,23,17,40,22,1,1,20,0,26.0,25.2,12.2,37.4,113,140,484,0.41,0.30,0.71,0.39,0.70,0.50,0.23,0.73,0.48,0.72,,,,,,,
