Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,LgRank,Playing Time : MP
Burak Yilmaz,2012-2013,27,Galatasaray,,1. Champions Lg,9,8,766,8.5,8,0,8,8,0,0,3,0,,,,,,,,0.94,0.00,0.94,0.94,0.94,,,,,,Matches,,
Burak Yilmaz,2013-2014,28,Galatasaray,,1. Champions Lg,6,6,484,5.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Burak Yilmaz,2014-2015,29,Galatasaray,,1. Champions Lg,6,5,411,4.6,2,0,2,1,1,1,0,0,,,,,,,,0.44,0.00,0.44,0.22,0.22,,,,,,Matches,,
Burak Yilmaz,2015-2016,30,Galatasaray,,1. Champions Lg,4,3,266,3.0,0,1,1,0,0,0,4,0,,,,,,,,0.00,0.34,0.34,0.00,0.34,,,,,,Matches,,
Burak Yilmaz,2017-2018,32,Trabzonspor,tr TUR,1. Süper Lig,25,25,2163,24.0,23,3,26,17,6,6,7,0,,,,,,,,0.96,0.12,1.08,0.71,0.83,,,,,,Matches,,
Burak Yilmaz,2018-2019,33,Beşiktaş,tr TUR,1. Süper Lig,15,15,1266,14.1,11,1,12,9,2,2,4,0,,,,,,,,0.78,0.07,0.85,0.64,0.71,,,,,,Matches,,
Burak Yilmaz,2019-2020,34,Beşiktaş,tr TUR,1. Süper Lig,25,24,2055,22.8,13,7,20,7,6,6,4,0,,,,,,,,0.57,0.31,0.88,0.31,0.61,,,,,,Matches,,
Burak Yilmaz,2020-2021,35,Lille,fr FRA,Coupe de France,1,1,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Burak Yilmaz,2021-2022,36,Lille,,1. Champions Lg,7,6,529,5.9,3,0,3,2,1,1,2,0,3.4,2.6,0.2,2.8,13,9,40,0.51,0.00,0.51,0.34,0.34,0.58,0.04,0.61,0.44,0.48,Matches,,
Burak Yilmaz,2022-2023,37,Fortuna Sittard,nl NED,1. Eredivisie,26,24,2218,24.6,9,4,13,3,6,6,8,0,12.1,7.6,1.9,9.5,36,48,153,0.37,0.16,0.53,0.12,0.28,0.49,0.08,0.57,0.31,0.39,Matches,,
Renato Sanches,2015-2016,17,Benfica,,1. Champions Lg,6,6,540,6.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Renato Sanches,2016-2017,18,Bayern Munich,de GER,1. Bundesliga,17,6,621,6.9,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Renato Sanches,2017-2018,19,Bayern Munich,de GER,1. Bundesliga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Renato Sanches,2018-2019,20,Bayern Munich,de GER,1. Bundesliga,17,4,577,6.4,1,1,2,1,0,0,2,1,0.9,0.9,0.9,1.8,26,38,27,0.16,0.16,0.31,0.16,0.31,0.13,0.14,0.27,0.13,0.27,Matches,,
Renato Sanches,2019-2020,21,Bayern Munich,de GER,1. Bundesliga,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,
Renato Sanches,2020-2021,22,Lille,fr FRA,Coupe de France,2,1,95,1.1,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.95,0.95,0.00,0.95,,,,,,Matches,,
Renato Sanches,2021-2022,23,Lille,,1. Champions Lg,5,5,404,4.5,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,8,29,15,0.00,0.00,0.00,0.00,0.00,0.11,0.04,0.15,0.11,0.15,Matches,,
Renato Sanches,2022-2023,24,Paris S-G,,1. Champions Lg,3,1,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,
Renato Sanches,2023-2024,25,Roma,it ITA,Coppa Italia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Renato Sanches,2024-2025,26,Benfica,,1. Champions Lg,2,1,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,,
Timothy Weah,2017-2018,17,Paris S-G,fr FRA,Coupe de France,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Timothy Weah,2018-2019,18,Celtic,,2. Europa Lg,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches,,
Timothy Weah,2019-2020,19,Lille,fr FRA,1. Ligue 1,3,1,85,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.4,1,5,5,0.00,0.00,0.00,0.00,0.00,0.04,0.35,0.39,0.04,0.39,Matches,,
Timothy Weah,2020-2021,20,Lille,fr FRA,Coupe de France,3,3,204,2.3,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
Timothy Weah,2021-2022,21,Lille,,1. Champions Lg,5,3,254,2.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,11,9,20,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,,
Timothy Weah,2022-2023,22,Lille,fr FRA,Coupe de France,3,2,196,2.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
