Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Playing Time
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,Matches,Matches,MP
Lautaro Martinez,2023-2024,25,Inter,,1. Champions Lg,8,5,532,5.9,2,0,2,1,1,1,2,0,5.1,4.3,0.7,5.0,11,18,38,0.34,0.00,0.34,0.17,0.17,0.92,0.12,1.04,0.78,0.89,Matches,,,,,,
Lautaro Martinez,2024-2025,26,Inter,,1. Champions Lg,6,2,243,2.7,1,0,1,1,0,0,1,0,1.1,1.1,0.3,1.4,4,8,13,0.37,0.00,0.37,0.37,0.37,0.40,0.12,0.52,0.40,0.52,Matches,,,,,,
Achraf Hakimi,2020-2021,21,Inter,,1. Champions Lg,5,4,358,4.0,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,11,11,43,0.00,0.25,0.25,0.00,0.25,0.01,0.13,0.15,0.01,0.15,Matches,,,,,,
Achraf Hakimi,2021-2022,22,Paris S-G,,1. Champions Lg,8,8,717,8.0,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.4,16,16,47,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,
Achraf Hakimi,2022-2023,23,Paris S-G,,1. Champions Lg,8,7,580,6.4,0,2,2,0,0,0,1,0,0.5,0.5,0.4,0.9,18,19,63,0.00,0.31,0.31,0.00,0.31,0.08,0.06,0.14,0.08,0.14,Matches,,,,,,
Achraf Hakimi,2023-2024,24,Paris S-G,,1. Champions Lg,11,11,981,10.9,1,1,2,1,0,0,4,0,1.0,1.0,3.1,4.0,37,84,116,0.09,0.09,0.18,0.09,0.18,0.09,0.28,0.37,0.09,0.37,Matches,,,,,,
Achraf Hakimi,2024-2025,25,Paris S-G,,1. Champions Lg,6,6,540,6.0,1,2,3,1,0,0,1,0,1.4,1.4,2.6,4.0,39,44,76,0.17,0.33,0.50,0.17,0.50,0.23,0.43,0.66,0.23,0.66,Matches,,,,,,
Marcelo Brozovic,2020-2021,27,Inter,,1. Champions Lg,5,4,372,4.1,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.8,4,33,6,0.00,0.24,0.24,0.00,0.24,0.04,0.14,0.19,0.04,0.19,Matches,,,,,,
Marcelo Brozovic,2021-2022,28,Inter,,1. Champions Lg,8,8,631,7.0,1,0,1,1,0,0,0,0,0.4,0.4,1.0,1.4,15,64,10,0.14,0.00,0.14,0.14,0.14,0.06,0.14,0.20,0.06,0.20,Matches,,,,,,
Marcelo Brozovic,2022-2023,29,Inter,,1. Champions Lg,9,5,549,6.1,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.4,9,37,11,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches,,,,,,
Marcelo Brozovic,2023-2024,30,Al-Nassr,sa KSA,1. Pro League,30,27,2497,27.7,4,8,12,4,0,0,4,0,,,,,,,,0.14,0.29,0.43,0.14,0.43,,,,,,Matches,,,,,,
Marcelo Brozovic,2024-2025,31,Al-Nassr,sa KSA,1. Saudi Professional League,11,10,926,10.3,1,0,1,1,0,0,4,0,,,,,,,,0.10,0.00,0.10,0.10,0.10,,,,,,Matches,,,,,,
