Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Playing Time,Unnamed: 22_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,MP,Matches
Carlos Soler,2020-2021,23,Valencia,es ESP,Copa del Rey,2,0,59,0.7,1,1,2,0,1,1,0,0,,,,,,,,1.53,1.53,3.05,0.00,1.53,,,,,,Matches,,,,,
Carlos Soler,2021-2022,24,Valencia,es ESP,Copa del Rey,6,5,541,6.0,1,0,1,1,0,0,1,0,,,,,,,,0.17,0.00,0.17,0.17,0.17,,,,,,Matches,,,,,
Carlos Soler,2022-2023,25,Paris S-G,,1. Champions Lg,6,2,155,1.7,1,0,1,1,0,0,0,0,0.3,0.3,0.2,0.4,1,6,5,0.58,0.00,0.58,0.58,0.58,0.15,0.09,0.23,0.15,0.23,Matches,,,,,
Carlos Soler,2023-2024,26,Paris S-G,,1. Champions Lg,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Carlos Soler,2024-2025,27,West Ham,eng ENG,EFL Cup,1,1,77,0.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Geronimo Rulli,2020-2021,28,Villarreal,es ESP,Copa del Rey,5,5,480,5.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Geronimo Rulli,2021-2022,29,Villarreal,,1. Champions Lg,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Geronimo Rulli,2022-2023,30,Villarreal,,3. Conf Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,
Geronimo Rulli,2023-2024,31,Ajax,,3. Conf Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,
Geronimo Rulli,2024-2025,32,Marseille,fr FRA,1. Ligue 1,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
