Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Playing Time,Unnamed: 23_level_0,Unnamed: 22_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,MP,Matches,Matches
Ousmane Dembele,2022-2023,25,Barcelona,,1. Champions Lg,6,5,413,4.6,1,2,3,1,0,0,1,0,1.1,1.1,1.5,2.6,36,26,67,0.22,0.44,0.65,0.22,0.65,0.23,0.33,0.57,0.23,0.57,Matches,,,,,,
Ousmane Dembele,2023-2024,26,Paris S-G,,1. Champions Lg,11,11,951,10.6,2,1,3,2,0,0,5,0,3.0,3.0,1.8,4.8,95,61,137,0.19,0.09,0.28,0.19,0.28,0.28,0.17,0.45,0.28,0.45,Matches,,,,,,
Ousmane Dembele,2024-2025,27,Paris S-G,,1. Champions Lg,4,4,313,3.5,0,1,1,0,0,0,2,1,1.9,1.9,1.1,3.0,32,26,51,0.00,0.29,0.29,0.00,0.29,0.54,0.32,0.86,0.54,0.86,Matches,,,,,,
Gerard Pique,2020-2021,33,Barcelona,,1. Champions Lg,3,3,235,2.6,1,0,1,1,0,0,0,1,0.1,0.1,0.0,0.1,1,11,0,0.38,0.00,0.38,0.38,0.38,0.02,0.01,0.04,0.02,0.04,Matches,,,,,,
Gerard Pique,2021-2022,34,Barcelona,,1. Champions Lg,5,5,392,4.4,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,0,24,0,0.23,0.00,0.23,0.23,0.23,0.13,0.00,0.13,0.13,0.13,Matches,,,,,,
Gerard Pique,2022-2023,35,Barcelona,,1. Champions Lg,4,2,258,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Martin Braithwaite,2020-2021,29,Barcelona,,1. Champions Lg,6,2,233,2.6,3,1,4,2,1,1,0,0,3.1,2.3,0.3,2.6,4,2,13,1.16,0.39,1.55,0.77,1.16,1.20,0.10,1.30,0.90,1.00,Matches,,,,,,
Martin Braithwaite,2021-2022,30,Barcelona,es ESP,Copa del Rey,1,0,16,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Martin Braithwaite,2022-2023,31,Espanyol,es ESP,Copa del Rey,2,1,105,1.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Martin Braithwaite,2023-2024,32,Espanyol,es ESP,Copa del Rey,2,1,107,1.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Miralem Pjanic,2020-2021,30,Barcelona,,1. Champions Lg,8,6,492,5.5,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,2,36,6,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,,,,,,
Miralem Pjanic,2021-2022,31,Beşiktaş,,1. Champions Lg,3,3,260,2.9,0,2,2,0,0,0,1,0,0.1,0.1,1.6,1.7,4,28,3,0.00,0.69,0.69,0.00,0.69,0.04,0.54,0.59,0.04,0.59,Matches,,,,,,
Miralem Pjanic,2022-2023,32,Barcelona,es ESP,1. La Liga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Miralem Pjanic,2024-2025,34,CSKA Moscow,ru RUS,1. Russian Premier League,7,4,382,4.2,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
