Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP,LgRank,MP,Matches,Matches
Wout Weghorst,2017-2018,24,AZ Alkmaar,nl NED,1. Eredivisie,31,31,2762,30.7,18,6,24,16,2,4,5,2,,,,,,,,0.59,0.20,0.78,0.52,0.72,,,,,,Matches,,,,,
Wout Weghorst,2018-2019,25,Wolfsburg,de GER,1. Bundesliga,34,33,2925,32.5,17,7,24,13,4,4,4,0,14.3,11.3,4.9,16.2,26,55,154,0.52,0.22,0.74,0.40,0.62,0.44,0.15,0.59,0.35,0.50,Matches,,,,,
Wout Weghorst,2019-2020,26,Wolfsburg,de GER,1. Bundesliga,32,30,2739,30.4,16,3,19,12,4,4,7,0,18.1,15.0,2.4,17.4,22,71,173,0.53,0.10,0.62,0.39,0.49,0.60,0.08,0.67,0.49,0.57,Matches,,,,,
Wout Weghorst,2020-2021,27,Wolfsburg,de GER,1. Bundesliga,34,33,2941,32.7,20,8,28,18,2,3,3,0,17.0,14.8,5.2,20.0,22,59,184,0.61,0.24,0.86,0.55,0.80,0.52,0.16,0.68,0.45,0.61,Matches,,,,,
Wout Weghorst,2021-2022,28,Wolfsburg,de GER,1. Bundesliga,18,17,1553,17.3,6,1,7,5,1,2,2,0,7.9,6.3,1.9,8.1,16,33,88,0.35,0.06,0.41,0.29,0.35,0.46,0.11,0.57,0.36,0.47,Matches,,,,,
Wout Weghorst,2022-2023,29,Manchester Utd,eng ENG,EFL Cup,3,3,215,2.4,1,1,2,1,0,0,0,0,,,,,,,,0.42,0.42,0.84,0.42,0.84,,,,,,Matches,,,,,
Wout Weghorst,2023-2024,30,Hoffenheim,de GER,1. Bundesliga,28,24,1977,22.0,7,3,10,6,1,1,4,0,7.2,6.4,3.5,9.9,14,57,132,0.32,0.14,0.46,0.27,0.41,0.33,0.16,0.49,0.29,0.45,Matches,,,,,
Wout Weghorst,2024-2025,31,Burnley,eng ENG,2. Championship,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Daniele Rugani,2013-2014,19,Empoli,it ITA,2. Serie B,40,40,3577,39.7,2,0,2,2,0,0,3,0,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,,,,,,
Daniele Rugani,2014-2015,20,Empoli,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Daniele Rugani,2015-2016,21,Juventus,,1. Champions Lg,1,0,2,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Daniele Rugani,2016-2017,22,Juventus,,1. Champions Lg,2,2,180,2.0,1,0,1,1,0,0,0,0,,,,,,,,0.50,0.00,0.50,0.50,0.50,,,,,,Matches,,,,,
Daniele Rugani,2017-2018,23,Juventus,,1. Champions Lg,2,1,110,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,,,,,
