Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,Playing Time : MP,LgRank
Alex Mortensen,2024-2025,22.0,Groningen,nl NED,1. Eredivisie,,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14th
Alexander Jakobsen,2013-2014,19.0,Jong PSV,nl NED,2. Eerste Divisie,,0.0,85.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,1.06,0.0,1.06,1.06,1.06,,,,,,,,10th
Alexander Jakobsen,2016-2017,22.0,Viborg,dk DEN,1. Danish Superliga,,9.0,807.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,0.11,0.11,0.22,0.11,0.22,,,,,,,,12th
Alexander Jakobsen,2024-2025,30.0,RKC Waalwijk,nl NED,1. Eredivisie,,0.0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,18th
Alexandre Letellier,2012-2013,21.0,Angers,fr FRA,2. Ligue 2,,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,
Alexandre Letellier,2016-2017,25.0,Angers,fr FRA,Coupe de France,,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,3.0,
Alexandre Letellier,2018-2019,27.0,Troyes,fr FRA,Coupe de France,,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,1.0,
Alexandre Letellier,2023-2024,32.0,Paris S-G,,1. Champions Lg,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,0.0,
Alexandre Letellier,2022-2023,31.0,Paris S-G,,1. Champions Lg,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,0.0,
Alexandre Letellier,2021-2022,30.0,Paris S-G,,1. Champions Lg,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,0.0,
Alexandre Letellier,2019-2020,28.0,Orléans,fr FRA,2. Ligue 2,,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,6.0,
Alexandre Letellier,2020-2021,29.0,Paris S-G,,1. Champions Lg,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,0.0,
Alexandre Letellier,2014-2015,23.0,Angers,fr FRA,2. Ligue 2,,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,4.0,
Alexandre Letellier,2015-2016,24.0,Angers,fr FRA,1. Coupe de la Ligue,,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,1.0,
Alexandre Letellier,2017-2018,26.0,Angers,fr FRA,1. Coupe de la Ligue,,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,1.0,
Alexandre Letellier,2013-2014,22.0,Angers,fr FRA,2. Ligue 2,,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,6.0,
Alonzo Engwanda,2022-2023,19.0,RSC Anderlecht U23,be BEL,2. Pro League B,,22.0,1964.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,6th
Alonzo Engwanda,2024-2025,21.0,Utrecht,nl NED,1. Eredivisie,,6.0,499.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3rd
